ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
0518E5CFC77ED825,electric_bike,2024-01-24 18:44:55,2024-01-24 18:53:06,,,,,37.79,-122.4,37.78,-122.39,member
0C8A4A2CF6C42EDC,electric_bike,2024-01-29 18:01:16,2024-01-29 18:11:19,,,,,37.77,-122.39,37.8,-122.4,member
1078C342200E3C11,electric_bike,2024-01-18 17:46:52,2024-01-18 17:54:58,,,,,37.79,-122.4,37.79,-122.41,member
DD51985D80D7469E,electric_bike,2024-01-29 09:26:05,2024-01-29 09:38:12,,,,,37.79,-122.43,37.79,-122.4,member
448B46AB3C8F39FE,electric_bike,2024-01-12 16:22:57,2024-01-12 16:40:42,,,,,37.79,-122.4,37.79,-122.42,member
F834099D8BC23767,electric_bike,2024-01-11 16:20:47,2024-01-11 16:33:26,,,,,37.78,-122.41,37.78,-122.43,casual
B9455D09E66590FB,electric_bike,2024-01-11 17:45:37,2024-01-11 17:57:27,,,,,37.79,-122.4,37.78,-122.41,casual
839824B89973027E,electric_bike,2024-01-30 08:25:59,2024-01-30 08:43:00,,,,,37.76,-122.42,37.79,-122.4,casual
A0FA2AF99CD186FD,electric_bike,2024-01-29 17:41:51,2024-01-29 18:16:32,,,,,37.77,-122.45,37.8,-122.41,casual
DBC6173E9A11201A,electric_bike,2024-01-30 07:34:37,2024-01-30 07:52:36,,,,,37.73,-122.4,37.77,-122.42,casual
60A238E27FE5673C,electric_bike,2024-01-30 09:29:23,2024-01-30 09:39:53,,,,,37.79,-122.42,37.78,-122.39,casual
90438124403A4D84,electric_bike,2024-01-29 17:43:43,2024-01-29 17:51:46,,,,,37.8,-122.41,37.8,-122.42,casual
18B41921C5BEDFC8,electric_bike,2024-01-24 16:32:53,2024-01-24 16:45:14,,,,,37.8,-122.39,37.8,-122.42,casual
7E4AAB88843DE6C1,electric_bike,2024-01-17 18:47:14,2024-01-17 18:56:17,,,,,37.77,-122.51,37.76,-122.5,casual
93481245769D442E,electric_bike,2024-01-17 17:31:56,2024-01-17 17:48:11,,,,,37.79,-122.39,37.77,-122.4,casual
1FE314A7794430A7,electric_bike,2024-01-17 18:23:40,2024-01-17 18:40:02,,,,,37.77,-122.4,37.76,-122.43,casual
BB2C22C15C99E71A,electric_bike,2024-01-18 09:42:03,2024-01-18 09:52:07,,,,,37.8,-122.44,37.8,-122.44,member
25855988EB551D3E,electric_bike,2024-01-31 16:52:35,2024-01-31 17:12:34,,,,,37.76,-122.48,37.77,-122.43,member
8C7FF6950BB303BF,electric_bike,2024-01-10 18:50:02,2024-01-10 19:02:00,,,,,37.79,-122.4,37.77,-122.43,member
5ED8965EBECB1379,electric_bike,2024-01-12 09:07:55,2024-01-12 09:16:17,,,,,37.78,-122.44,37.79,-122.42,member
783C7BC4B3C7ED94,electric_bike,2024-01-05 17:41:29,2024-01-05 17:50:13,,,,,37.76,-122.51,37.74,-122.51,member
D6235269EA20E0E1,electric_bike,2024-01-23 09:38:49,2024-01-23 09:56:39,,,,,37.77,-122.42,37.77,-122.42,casual
5B09C0254E8D44F9,electric_bike,2024-01-22 16:25:50,2024-01-22 16:47:59,,,,,37.79,-122.4,37.8,-122.46,casual
CF19BEA7A69ECE8F,electric_bike,2024-01-25 08:19:05,2024-01-25 08:30:23,,,,,37.79,-122.4,37.78,-122.42,casual
7BEF863299830F87,electric_bike,2024-01-24 16:39:17,2024-01-24 17:05:57,,,,,37.79,-122.43,37.75,-122.48,casual
A25F07AB56730B8C,electric_bike,2024-01-24 16:52:11,2024-01-24 17:09:32,,,,,37.8,-122.41,37.81,-122.42,casual
C5D4A7116CEA4BE3,electric_bike,2024-01-17 18:19:27,2024-01-17 18:34:03,,,,,37.79,-122.39,37.76,-122.39,member
6653C168EA052D5E,electric_bike,2024-01-26 16:01:10,2024-01-26 16:10:50,,,,,37.77,-122.4,37.78,-122.4,member
AD23D58AFB6A3487,electric_bike,2024-01-11 17:18:57,2024-01-11 17:30:05,,,,,37.79,-122.39,37.77,-122.39,member
686324437B344CD9,electric_bike,2024-01-12 16:48:26,2024-01-12 17:02:54,,,,,37.78,-122.42,37.75,-122.42,member
FCC6479CD7EB1376,electric_bike,2024-01-10 07:41:13,2024-01-10 08:13:35,,,,,37.79,-122.47,37.75,-122.4,member
BA8800421F0953C5,electric_bike,2024-01-30 18:41:56,2024-01-30 18:53:07,,,,,37.79,-122.4,37.8,-122.43,member
CC0A687DB67125BE,electric_bike,2024-01-10 09:08:13,2024-01-10 09:17:48,,,,,37.78,-122.47,37.77,-122.45,member
13D13D34A9ADF89D,electric_bike,2024-01-29 16:29:38,2024-01-29 16:40:51,,,,,37.79,-122.4,37.78,-122.41,member
767016ABE747DA95,electric_bike,2024-01-29 18:00:31,2024-01-29 18:09:25,,,,,37.8,-122.41,37.79,-122.42,member
984643B1BD8DA120,electric_bike,2024-01-25 08:23:21,2024-01-25 08:32:57,,,,,37.78,-122.41,37.77,-122.41,member
0130E6A717CA6E36,electric_bike,2024-01-24 18:57:50,2024-01-24 19:06:33,,,,,37.78,-122.42,37.77,-122.43,member
DE83AA15432FCB18,electric_bike,2024-01-24 18:31:13,2024-01-24 18:45:16,,,,,37.75,-122.42,37.74,-122.41,member
B0456F49FE136784,electric_bike,2024-01-04 17:45:17,2024-01-04 18:02:37,,,,,37.79,-122.4,37.8,-122.44,member
0794B05301A0FF99,electric_bike,2024-01-23 08:34:41,2024-01-23 08:58:51,,,,,37.79,-122.49,37.81,-122.42,casual
